temperature,visibility,precipitation,year,month,day,hour,snow,heavy_snow,rain,heavy_rain
5.6,16.1,0.0,2016,1,1,0,False,False,False,False
5.6,16.1,0.0,2016,1,1,1,False,False,False,False
5.6,16.1,0.0,2016,1,1,2,False,False,False,False
5.0,16.1,0.0,2016,1,1,3,False,False,False,False
5.0,16.1,0.0,2016,1,1,4,False,False,False,False
5.0,16.1,0.0,2016,1,1,5,False,False,False,False
4.4,16.1,0.0,2016,1,1,6,False,False,False,False
4.4,16.1,0.0,2016,1,1,7,False,False,False,False
3.9,16.1,0.0,2016,1,1,8,False,False,False,False
3.9,16.1,0.0,2016,1,1,9,False,False,False,False
3.9,16.1,0.0,2016,1,1,10,False,False,False,False
4.4,16.1,0.0,2016,1,1,11,False,False,False,False
4.4,16.1,0.0,2016,1,1,12,False,False,False,False
4.4,16.1,0.0,2016,1,1,13,False,False,False,False
4.4,16.1,0.0,2016,1,1,14,False,False,False,False
4.4,16.1,0.0,2016,1,1,15,False,False,False,False
3.9,16.1,0.0,2016,1,1,16,False,False,False,False
3.9,16.1,0.0,2016,1,1,17,False,False,False,False
3.3,16.1,0.0,2016,1,1,18,False,False,False,False
3.3,16.1,0.0,2016,1,1,19,False,False,False,False
2.8,16.1,0.0,2016,1,1,20,False,False,False,False
2.8,16.1,0.0,2016,1,1,21,False,False,False,False
2.2,16.1,0.0,2016,1,1,22,False,False,False,False
1.7,16.1,0.0,2016,1,1,23,False,False,False,False
1.7,16.1,0.0,2016,1,2,0,False,False,False,False
1.7,16.1,0.0,2016,1,2,1,False,False,False,False
1.1,16.1,0.0,2016,1,2,2,False,False,False,False
1.1,16.1,0.0,2016,1,2,3,False,False,False,False
1.1,16.1,0.0,2016,1,2,4,False,False,False,False
1.1,16.1,0.0,2016,1,2,5,False,False,False,False
0.6,16.1,0.0,2016,1,2,6,False,False,False,False
0.6,16.1,0.0,2016,1,2,7,False,False,False,False
0.6,16.1,0.0,2016,1,2,8,False,False,False,False
1.1,16.1,0.0,2016,1,2,9,False,False,False,False
1.1,16.1,0.0,2016,1,2,10,False,False,False,False
1.7,16.1,0.0,2016,1,2,11,False,False,False,False
2.8,16.1,0.0,2016,1,2,12,False,False,False,False
2.8,16.1,0.0,2016,1,2,13,False,False,False,False
3.3,16.1,0.0,2016,1,2,14,False,False,False,False
3.9,16.1,0.0,2016,1,2,15,False,False,False,False
3.9,16.1,0.0,2016,1,2,16,False,False,False,False
4.4,16.1,0.0,2016,1,2,17,False,False,False,False
3.9,16.1,0.0,2016,1,2,18,False,False,False,False
2.8,16.1,0.0,2016,1,2,19,False,False,False,False
2.2,16.1,0.0,2016,1,2,20,False,False,False,False
2.2,16.1,0.0,2016,1,2,21,False,False,False,False
1.7,16.1,0.0,2016,1,2,22,False,False,False,False
2.2,16.1,0.0,2016,1,2,23,False,False,False,False
1.7,16.1,0.0,2016,1,3,0,False,False,False,False
2.2,16.1,0.0,2016,1,3,1,False,False,False,False
1.7,16.1,0.0,2016,1,3,2,False,False,False,False
2.2,16.1,0.0,2016,1,3,3,False,False,False,False
2.2,16.1,0.0,2016,1,3,4,False,False,False,False
2.2,16.1,0.0,2016,1,3,5,False,False,False,False
2.8,16.1,0.0,2016,1,3,6,False,False,False,False
2.2,16.1,0.0,2016,1,3,7,False,False,False,False
1.7,16.1,0.0,2016,1,3,8,False,False,False,False
2.2,16.1,0.0,2016,1,3,9,False,False,False,False
3.3,16.1,0.0,2016,1,3,10,False,False,False,False
3.9,16.1,0.0,2016,1,3,11,False,False,False,False
6.1,16.1,0.0,2016,1,3,12,False,False,False,False
6.7,16.1,0.0,2016,1,3,13,False,False,False,False
6.7,16.1,0.0,2016,1,3,14,False,False,False,False
6.7,16.1,0.0,2016,1,3,15,False,False,False,False
5.6,16.1,0.0,2016,1,3,16,False,False,False,False
5.0,16.1,0.0,2016,1,3,17,False,False,False,False
5.0,16.1,0.0,2016,1,3,18,False,False,False,False
5.0,16.1,0.0,2016,1,3,19,False,False,False,False
4.4,16.1,0.0,2016,1,3,20,False,False,False,False
3.9,16.1,0.0,2016,1,3,21,False,False,False,False
3.3,16.1,0.0,2016,1,3,22,False,False,False,False
2.8,16.1,0.0,2016,1,3,23,False,False,False,False
2.8,16.1,0.0,2016,1,4,0,False,False,False,False
2.2,16.1,0.0,2016,1,4,1,False,False,False,False
2.2,16.1,0.0,2016,1,4,2,False,False,False,False
2.2,16.1,0.0,2016,1,4,3,False,False,False,False
1.7,16.1,0.0,2016,1,4,4,False,False,False,False
1.1,16.1,0.0,2016,1,4,5,False,False,False,False
0.6,16.1,0.0,2016,1,4,6,False,False,False,False
-0.6,16.1,0.0,2016,1,4,7,False,False,False,False
-1.1,16.1,0.0,2016,1,4,8,False,False,False,False
-1.7,16.1,0.0,2016,1,4,9,False,False,False,False
-1.7,16.1,0.0,2016,1,4,10,False,False,False,False
-2.2,16.1,0.0,2016,1,4,11,False,False,False,False
-2.2,16.1,0.0,2016,1,4,12,False,False,False,False
-2.2,16.1,0.0,2016,1,4,13,False,False,False,False
-1.1,16.1,0.0,2016,1,4,14,False,False,False,False
-2.2,16.1,0.0,2016,1,4,15,False,False,False,False
-2.2,16.1,0.0,2016,1,4,16,False,False,False,False
-3.3,16.1,0.0,2016,1,4,17,False,False,False,False
-5.0,16.1,0.0,2016,1,4,18,False,False,False,False
-6.1,16.1,0.0,2016,1,4,19,False,False,False,False
-6.7,16.1,0.0,2016,1,4,20,False,False,False,False
-7.2,16.1,0.0,2016,1,4,21,False,False,False,False
-7.8,16.1,0.0,2016,1,4,22,False,False,False,False
-8.3,16.1,0.0,2016,1,4,23,False,False,False,False
-11.1,16.1,0.0,2016,1,5,4,False,False,False,False
-11.1,16.1,0.0,2016,1,5,5,False,False,False,False
-11.1,16.1,0.0,2016,1,5,6,False,False,False,False
-11.7,16.1,0.0,2016,1,5,7,False,False,False,False
-11.7,16.1,0.0,2016,1,5,8,False,False,False,False
-11.1,16.1,0.0,2016,1,5,9,False,False,False,False
-10.6,16.1,0.0,2016,1,5,10,False,False,False,False
-8.3,16.1,0.0,2016,1,5,11,False,False,False,False
-7.2,16.1,0.0,2016,1,5,12,False,False,False,False
-5.6,16.1,0.0,2016,1,5,13,False,False,False,False
