Day;Date;Holiday
Friday;January 01;New Years Day
Monday;January 18;Martin Luther King Jr. Day
Friday;February 12;Lincoln's Birthday
Monday;February 15;Presidents' Day
Sunday;May 08;Mother's Day
Monday;May 30;Memorial Day
Sunday;June 19;Father's Day
Monday;July 04;Independence Day
Monday;September 05;Labor Day
Monday;October 10;Columbus Day
Friday;November 11;Veterans Day
Thursday;November 24;Thanksgiving
Monday;December 26;Christmas Day (in lieu)
Monday;July 04;Independence Day
Tuesday;November 08;Election Day
